site,data_status,action_code,datetime,parameter,duration,frequency,value,unit,qc,poc,lat,lon,GISDatum,elev,method_code,mpc,mpc_value,uncertainty,qualifiers
840020900034,0,10,20150710T1200-0900,64101,60,0,742,016,0,1,64.84569,-147.727413,WGS84,132,014,1,.7,,
840020900034,0,10,20150710T0900-0900,64101,60,0,742,016,0,1,64.84569,-147.727413,WGS84,132,014,1,.7,,
840020900034,0,10,20150710T0800-0900,64101,60,0,742,016,0,1,64.84569,-147.727413,WGS84,132,014,1,.7,,
840020900034,0,10,20150710T1000-0900,64101,60,0,742,016,0,1,64.84569,-147.727413,WGS84,132,014,1,.7,,
840020900034,0,10,20150705T1400-0900,64101,60,0,753,016,0,1,64.84569,-147.727413,WGS84,132,014,1,.7,,
840020900034,0,10,20150705T1600-0900,64101,60,0,752,016,0,1,64.84569,-147.727413,WGS84,132,014,1,.7,,
840020900034,0,10,20150705T1300-0900,64101,60,0,753,016,0,1,64.84569,-147.727413,WGS84,132,014,1,.7,,
840020900034,0,10,20150705T1100-0900,64101,60,0,754,016,0,1,64.84569,-147.727413,WGS84,132,014,1,.7,,
840020900034,0,10,20150705T1200-0900,64101,60,0,754,016,0,1,64.84569,-147.727413,WGS84,132,014,1,.7,,
840020900034,0,10,20150705T0900-0900,64101,60,0,753,016,0,1,64.84569,-147.727413,WGS84,132,014,1,.7,,
840020900034,0,10,20150705T0800-0900,64101,60,0,753,016,0,1,64.84569,-147.727413,WGS84,132,014,1,.7,,
840020900034,0,10,20150705T1000-0900,64101,60,0,754,016,0,1,64.84569,-147.727413,WGS84,132,014,1,.7,,
840020900034,0,10,20150705T0600-0900,64101,60,0,753,016,0,1,64.84569,-147.727413,WGS84,132,014,1,.7,,
840020900034,0,10,20150705T0700-0900,64101,60,0,753,016,0,1,64.84569,-147.727413,WGS84,132,014,1,.7,,
840020900034,0,10,20150705T0500-0900,64101,60,0,752,016,0,1,64.84569,-147.727413,WGS84,132,014,1,.7,,
840020900034,0,10,20150705T0400-0900,64101,60,0,752,016,0,1,64.84569,-147.727413,WGS84,132,014,1,.7,,
840020900034,0,10,20150705T0300-0900,64101,60,0,752,016,0,1,64.84569,-147.727413,WGS84,132,014,1,.7,,
840020900034,0,10,20150705T0200-0900,64101,60,0,751,016,0,1,64.84569,-147.727413,WGS84,132,014,1,.7,,
840020900034,0,10,20150705T0100-0900,64101,60,0,751,016,0,1,64.84569,-147.727413,WGS84,132,014,1,.7,,
840020900034,0,10,20150708T1000-0900,64101,60,0,746,016,0,1,64.84569,-147.727413,WGS84,132,014,1,.7,,
840020900034,0,10,20150708T0600-0900,64101,60,0,746,016,0,1,64.84569,-147.727413,WGS84,132,014,1,.7,,
840020900034,0,10,20150708T0700-0900,64101,60,0,746,016,0,1,64.84569,-147.727413,WGS84,132,014,1,.7,,
